iter	Passed	Remaining
773	28881	8433
774	28917	8395
775	28954	8358
776	28990	8320
777	29026	8282
778	29063	8245
779	29099	8207
780	29135	8169
781	29173	8132
782	29208	8094
783	29244	8057
784	29283	8020
785	29320	7982
786	29357	7945
787	29394	7908
788	29430	7870
789	29467	7833
790	29503	7795
791	29540	7758
792	29575	7720
793	29611	7682
794	29649	7645
795	29684	7607
796	29721	7570
797	29757	7532
798	29793	7494
799	29829	7457
800	29863	7419
801	29900	7381
802	29937	7344
803	29974	7307
804	30010	7269
805	30048	7232
806	30084	7195
807	30121	7157
808	30156	7119
809	30192	7082
810	30229	7044
811	30267	7007
812	30304	6970
813	30341	6933
814	30378	6895
815	30414	6858
816	30450	6820
817	30486	6782
818	30522	6745
819	30559	6708
820	30595	6670
821	30631	6633
822	30669	6595
823	30708	6559
824	30745	6521
825	30782	6484
826	30819	6447
827	30855	6409
828	30892	6372
829	30930	6335
830	30968	6298
831	31003	6260
832	31040	6223
833	31077	6185
834	31113	6148
835	31149	6110
836	31185	6073
837	31221	6035
838	31257	5998
839	31293	5960
840	31331	5923
841	31367	5885
842	31402	5848
843	31437	5810
844	31472	5773
845	31508	5735
846	31545	5698
847	31581	5660
848	31617	5623
849	31653	5585
850	31690	5548
851	31725	5510
852	31761	5473
853	31797	5436
854	31834	5398
855	31870	5361
856	31906	5323
857	31943	5286
858	31979	5249
859	32016	5212
860	32053	5174
861	32088	5137
862	32125	5099
863	32162	5062
864	32202	5025
865	32240	4988
866	32277	4951
867	32313	4913
868	32349	4876
869	32385	4839
870	32423	4802
871	32460	4764
872	32495	4727
873	32532	4690
874	32568	4652
875	32603	4615
876	32640	4577
877	32676	4540
878	32713	4503
879	32749	4465
880	32786	4428
881	32822	4391
882	32858	4353
883	32894	4316
884	32929	4279
885	32966	4241
886	33004	4204
887	33041	4167
888	33078	4130
889	33115	4092
890	33152	4055
891	33187	4018
892	33222	3980
893	33260	3943
894	33295	3906
895	33329	3868
896	33364	3831
897	33401	3793
898	33436	3756
899	33470	3718
900	33506	3681
901	33542	3644
902	33578	3607
903	33615	3569
904	33650	3532
905	33685	3494
906	33721	3457
907	33757	3420
908	33798	3383
909	33833	3346
910	33870	3308
911	33907	3271
912	33943	3234
913	33981	3197
914	34016	3160
915	34054	3122
916	34089	3085
917	34125	3048
918	34162	3011
919	34197	2973
920	34233	2936
921	34270	2899
922	34307	2862
923	34344	2824
924	34382	2787
925	34416	2750
926	34452	2713
927	34489	2675
928	34524	2638
929	34560	2601
930	34598	2564
931	34634	2527
932	34670	2489
933	34707	2452
934	34744	2415
935	34780	2378
936	34819	2341
937	34855	2303
938	34892	2266
939	34935	2229
940	34973	2192
941	35012	2155
942	35048	2118
943	35083	2081
944	35119	2043
945	35154	2006
946	35190	1969
947	35227	1932
948	35264	1895
949	35301	1857
950	35337	1820
951	35372	1783
952	35407	1746
953	35447	1709
954	35484	1672
955	35520	1634
956	35558	1597
957	35595	1560
958	35631	1523
959	35667	1486
960	35704	1448
961	35740	1411
962	35774	1374
963	35811	1337
964	35847	1300
965	35883	1262
966	35917	1225
967	35952	1188
968	35989	1151
969	36027	1114
970	36064	1077
971	36102	1039
972	36138	1002
973	36173	965
974	36207	928
975	36243	891
976	36278	854
977	36312	816
978	36347	779
979	36382	742
980	36418	705
981	36454	668
982	36490	631
983	36528	593
984	36564	556
985	36600	519
986	36636	482
987	36671	445
988	36707	408
989	36742	371
990	36779	334
991	36817	296
992	36853	259
993	36889	222
994	36925	185
995	36961	148
996	36999	111
997	37035	74
998	37073	37
999	37109	0
